,name,count,prob,sex
549,ERIC,4110.0,1.0,male
550,CARLI,71.0,0.92,female
551,RICHARD,4381.0,1.0,male
552,ARIANNA,189.0,0.99,female
553,FRANCINA,8.0,1.0,female
554,JENNELL,5.0,1.0,female
555,REGINALD,91.0,0.99,male
556,DEWEY,23.0,1.0,male
557,AMELIA,371.0,1.0,female
558,LAMAR,36.0,0.67,male
559,RICKY,674.0,0.98,male
560,MICAELA,143.0,0.99,female
561,TRUMAN,8.0,1.0,male
562,GILBERTO,201.0,1.0,male
563,THALIA,49.0,1.0,female
564,CELINA,116.0,0.99,female
565,TANNER,170.0,0.96,male
566,TREVOR,758.0,1.0,male
567,ROCHELLE,216.0,1.0,female
568,RIGOBERTO,35.0,1.0,male
569,EARL,201.0,1.0,male
570,CYNDI,140.0,1.0,female
571,CORNELL,8.0,0.88,male
572,RAFAELA,69.0,0.97,female
573,KYLE,1944.0,0.99,male
574,HUNTER,289.0,0.96,male
575,CEDRIC,499.0,1.0,male
576,CARI,86.0,0.99,female
577,MARCELO,810.0,1.0,male
578,SHERITA,6.0,1.0,female
579,COLE,221.0,0.96,male
580,BRANDEN,42.0,1.0,male
581,EARLENE,7.0,1.0,female
582,ZELLA,3.0,1.0,female
583,CLEMENTE,35.0,0.97,male
584,MINDY,308.0,1.0,female
585,ELINOR,37.0,1.0,female
586,NORBERTO,69.0,1.0,male
587,LUPITA,206.0,1.0,female
588,KARAN,151.0,0.93,male
589,NILSA,14.0,1.0,female
590,BARBARA,2843.0,1.0,female
591,ELISHA,103.0,0.94,female
592,SYDNEY,242.0,0.95,female
593,CHERYLE,24.0,1.0,female
594,TISH,80.0,1.0,female
595,RENETTA,1.0,1.0,female
596,JACQUES,280.0,0.99,male
597,CAMERON,614.0,0.94,male
598,ELIAS,373.0,1.0,male
599,JENNY,2899.0,1.0,female
600,DINO,186.0,0.99,male
601,SHERLY,17.0,1.0,female
602,DANIELLE,2429.0,1.0,female
603,LINWOOD,4.0,1.0,male
604,JEANINE,152.0,1.0,female
605,SHERIKA,3.0,1.0,female
606,LOURA,0.0,0.0,None
607,HETTIE,4.0,1.0,female
608,CARY,87.0,0.55,male
